Title,Rating,Genre,Description,Release year,Casts,Country
Coffee Friends (2019),Three Stars,"Drama , Business , Food , Korean | Episodes 50","A variety show that follows Yoo Yeon Seok and Son Ho Jun as they run a cafe in a tangerine farm on Jeju Island, with their profits being donated to charity. The show was inspired by the two close friends and their “Coffee Friends” donation project in 2018.",,"{'Son Ho Jun\nRegular Member', 'Choi Ji Woo\nGuest', 'U-Know Yun Ho\nGuest', 'Yang Se Jong\nGuest', 'Jo Jae Yun\nGuest', 'Baro\nGuest', 'Yoo Yeon Seok\nRegular Member', 'Na Young Seok\nDirector'}",Korean
Page Turner (2016),Three Stars,"Drama , Music , Korean | Episodes 3","This 3 episodes drama special tells the stories about three youth, while the main motif of the drama is piano. A genius pianist and an athlete, who is bold, brave and fearless yet short-tempered, get to live a different life completely opposite to each one’s previous regular daily life, after the two got into an unexpected accident. Yoon Yoo Seul (Kim So Hyun) is a student of an art high school. She is a talented pianist and who won various contests, but she is driven by her mother. Yoo Seul’s mother wanted to become a pianist when she was younger. One day, Yoo Seul has an accident and she may never play the piano again because of the accident. With the help of her friend Cha Sik (Ji Soo) and Yoo Seul’s rival Jin Mok (Shin Jae Ha), Yoo Seul begins to live a new life.",,"{'', 'Shin Jae Ha\nSeo Jin Mok\nMain Role', 'Oh Gwang Rok\n[Street Vendor]\nGuest Role', ""Ahn Jae Mo\n[Cha Shik's Doctor]\nSupporting Role"", ""Park Jong Hoon\n[Famous Pianist - Cha Shik's Father]\nGuest Role"", ""Ye Ji Won\n[Yoo Seul's Mother]\nSupporting Role"", ""Hwang Young Hee\n[Cha Shik's Mother]\nSupporting Role"", 'Kim So Hyun\nYoon Yoo Seul\nMain Role', 'Kim Jin Woo\nSupporting Role', 'Kim Dong Hee\nSang Pil\nSupporting Role', 'Im Ho\n[Eye Doctor]\nSupporting Role', 'Yoo Yeon Mi\nGyoo Sun\nSupporting Role', 'Main Role', 'Ji Soo\nJeong Cha Shik\nMain Role'}",Korean
My English Puberty 100 Hours (2018),Three Stars,"Drama , Comedy , Fantasy , Life , Korean | Episodes 300","Season 2 of the education-variety program will be called 'My English Puberty - 100 Hours', with a brand new panel of stars including actress Kim Won Hee, actor Lee Jae Ryong, singer Kim Jong Min, beauty creator Risabae, and NCT's Jaemin! Another difference in season 2 from season 1 will be that the panelists will attempt to learn English with a new method - studying English for 7 hours each day for a duration of 2 weeks. ",,"{'Kim Won Hee\nRegular Member', 'Na Jae Min\nHimself\nMain Role', 'Kim Jong Min\nRegular Member', 'Lee Jae Ryong\nRegular Member'}",Korean
Twilight Delight (2018),Two & Half Stars,"Drama , Game-Show , Kshow , Korean | Episodes 70","Twilight Delight (Hangul: Your Rosy Cheeks | 볼빨간 당신) is a Korea Show. Starring Lee Young-ja, Hong Jin-kyung, Oh.... You can watch and download full episodes with English subtitles free at kshow-online.online",,not available,Korean
Law of the Jungle in Sabah (2018),Three Stars,"Drama , Adventure , Korean | Episodes 100","In this season, Kim Byung-man takes his crew to the beautiful island of Borneo in the eastern part of Sabah for an exciting challenge!",,"{'', 'Ong Sung Woo\n1st half\nGuest', 'Lee Da Hee\n2nd Half\nGuest', 'Kim Nam Joo\n1st half\nGuest', 'Andy\n2nd Half\nGuest', 'Yoon Shi Yoon\n2nd Half\nGuest', 'Kim Byung Man\nMain Host', 'Eric\n2nd Half\nGuest', 'Ahn Tony\n1st half\nGuest', 'Main Host', 'Ha Sung Woon\n1st half\nGuest', 'Park Sung Kwang\n1st half\nGuest', 'Kang Nam\n2nd Half\nGuest', '2nd Half\nGuest', 'Park Jung Chul\n1st half\nGuest', 'Lee Min Woo\n2nd Half\nGuest', 'Park Sol Mi\n1st half\nGuest', 'Sung Hoon\n1st half\nGuest', 'Jang Dong Yoon\n2nd Half\nGuest'}",Korean
Trap (2019),Three Stars,"Drama , Investigation , Mystery , Thriller , Korean | Episodes 7",Kang Woo Hyun goes on a trip with his family and gets caught in a trap where he faces the situation of a lifetime. ,,"{'', 'Sung Hyuk\nSupport Role', 'Support Role', 'Kim Kwang Gyu\nSquad Chief Jang\nSupport Role', 'Screenwriter', 'Lee Seo Jin\nKang Woo Hyun\nMain Role', 'Lee Joo bin\n[Secretary Kim]\nSupport Role', ""Seo Young Hee\nShin Yun Soo [Woo Hyun's Wife]\nSupport Role"", 'Jang Won Hyung\nHo Gae\nSupport Role', 'Nam Sang Wook\nScreenwriter', '[Secretary Kim]\nSupport Role', 'Im Hwa Young\nYoon Seo Yeong\nMain Role', 'Lee Jae Gyoo\nDirector', 'Park Shin Woo\nDirector', 'Kwak Min Ho\nSupport Role', 'Yoon Gyung Ho\nSupport Role', 'Sung Dong Il\nGo Dong Kook\nMain Role'}",Korean
The Last Empress (2018),Three Stars,"Drama , Comedy , Drama , Fantasy , Law , Political , Romance , Suspense , Thriller , Korean | Episodes 28","Set in an alternate universe, in which Korea is a constitutional monarchy in 2018, Oh Sunny is a bright and vivacious musical actress who marries the emperor. She becomes involved in the palace power struggle and a mysterious murder that sets off events that threaten the monarchy itself, while searching for true love and happiness. ",,"{'', ""Oh Ah Rin\nAh Ri (Princess Soo Ji's daughter)\nSupport Role"", 'Yoon So Yi\nSeo Kang Hee\nSupport Role', 'Support Role', 'Yoon Joo Man\nMa Pil Joo\nSupport Role', 'Choi Jin Hyuk\nNa Wang Shik\nMain Role', ""Shin Eun Kyung\n[Lee Hyuk's Mother]\nSupport Role"", 'Joo Dong Min\nDirector', 'Kim Jung Tae\nMa Pil Joo\nSupport Role', ""[Lee Hyuk's Grandmother]\nSupport Role"", 'Lee Stephanie\nOh Hel Ro\nSupport Role', 'Shin Sung Rok\nLee Hyuk\nMain Role', 'Kim Soon Ok\nScreenwriter', 'Lee Elliya\nMin Yoo Ra\nMain Role', 'Yoon Da Hoon\nOh Geum Mo\nSupport Role', 'Jang Na Ra\nOh Sunny\nMain Role', 'Oh Geum Mo\nSupport Role', 'Oh Seung Yun\nPrince Lee Yoon\nSupport Role', ""Park Won Sook\n[Lee Hyuk's Grandmother]\nSupport Role"", 'Lee Hee Jin\nPrincess Soo Jin\nSupport Role'}",Korean
Buy Give and Take (2018),Two & Half Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Korean | Episodes 50","With a motto ""Let's have fun in Donation!,"" the show features two stars who are willing to raise money for donation. Each week, stars get 50,000 won as the seed money. Combining with their big talent, they create something that could make some money. It could be anything that allows the stars to showcase their talent: drawing, cooking, performance, etc. They also promote their activities and goodwill to others, getting help from famous celebrity friends. After raising money for a certain period, the two stars compares the numbers to decide the winner, and all the money will be donated to charities under the winner’s name.",,not available,Korean
Love Catcher (2018),Three & Half Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Korean | Episode 100","“Love Catcher” is a new concept of love survival that deals with the subtle psychology of young men and women who fall in love but doubt love at the same time. Unlike traditional love programs, which only created fantasies about love, this program will show the romance process of young people who are grappling between true love and fake love.",,{'JR\nRegular Member'},Korean
My Daughters Men Season 4 (2018),Three Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Korean | Episodes: 40","""Do you like me? Why do you like me?"" Questions that often appear on dates, will they change however if the daughters know their celebrity dads are watching them?! As the dads observe what kind of men their daughters like and how they interact with guys, they gain a whole new insight on their daughters and their bonds grow stronger!",,not available,Korean
Age of Legends (2018),Three Stars,"Drama , Action , Comedy , Fantasy , Vampire , Korean | Episodes 47","Chan William plays Liu Zi Guang, 30 years old, representing young men with a burning ardor, persevering to the top despite his humble background, displaying stories of love from all around. With a strong sense of justice and courage, he gathers a group of like-minded men. Due to an incident, he disappears from the world for 8 years, returning to find his dad beat up and admitted to the hospital. After delivering his brand of punishment to the deserved people, the nurses fall for his charms and upon meeting our female lead, the cop in charge of the case, they butt heads immediately. Doesn’t help that she discovers his involvement with a case from 8 years ago and is determined to uncover more dirt about him. Ma Sandra plays a 23-year old feisty police woman, the beauty of the bureau with a temper to boot. ",,"{'Chan William\nLiu Zi Guang\nMain Role', 'Ma Sandra\nHu Rong\nMain Role', 'Liu Yi Jun\nSupport Role', 'Hu Xiao Ling\nGuardian\nSupport Role', 'Chu Shuan Zhong\nSupport Role'}",Korean
Olive Pocha (2018),Three Stars,"Drama , Comedy , Fantasy , Food , Game-Show , Korean | Episodes 70","Pojangmacha comes to Europe! A snack cart full of Jeong(affection) and delicious Korean street food opens in Paris, Deauville, and Copenhagen. Anybody is welcome: overseas Koreans who've missed food from home or local residents that want to experience Korean food and Soju. There are plenty of food, liquor, smiles, and warmth. In ""Borderless Carriage,"" you can meet good people and touching stories from everyday life. Seven celebrities including Park Joong-hoon and Shin Se-kyung will cook for and serve the customers.",,not available,Korean
A Promise With God (2018),Three Stars,"Drama , Family , Melodrama , Korean | Episodes 48","This drama is about how two married couples will do whatever it takes to save their children. That’s without taking into account that they’ll leave ethics and morals to one side in order to do it. Seo Ji Young (Han Chae Young) is an anchorwoman and talk show host who is also fiercely devoted to her children. Meanwhile, Kim Jae Wook (Bae Soo Bin) is the heir to a large architecture firm who is willing to lay everything on the line and stand up against his family in order to protect his children.",,"{'', 'Bae Soo Bin\nKim Jae Wook\nMain Role', 'Oh Yoon Ah\nWoo Na Kyeong\nMain Role', 'Han Chae Young\nSeo Ji Yeong\nMain Role', 'Choi Phillip\nJeong Kyeong Soo\nSupport Role', 'Kim Hee Jung\nAhn Joo Ryun\nSupport Role', 'Lee Chun Hee\nSong Min Ho\nMain Role', 'Oh Hyun Kyung\nKim Jae Hee\nSupport Role', 'Park Geun Hyung\nKim Sang Cheon\nSupport Role', 'Lee Pil Nam\nSupport Role', 'Bae Hae Seon\nOh Seon Joo\nSupport Role', 'Kim Dong Yoon\nSeo Do Yeong\nSupport Role', 'Hong Young Hee\nScreenwriter', 'Kang Boo Ja\nLee Pil Nam\nSupport Role', 'L.Joe\nJo Seung Hoon\nSupport Role', 'Lee Hwi Hyang\nHeo Eun Sook\nSupport Role', 'Chu Ye Jin\nNa Hye Ji\nSupport Role', 'Yoon Jae Moon\nDirector', 'Wang Seok Hyun\nSong Hyeon Woo\nSupport Role', 'Screenwriter', 'Seo Do Yeong\nSupport Role'}",Korean
I Love When I’m Sad (2019),Three Stars,"Drama , Drama , Melodrama , Romance , Korean | Episodes 40","Seo Jung Won is a plastic surgeon. He is a good person, smart and handsome. He falls in love with Yoon Ma Ri. Yoon Ma Ri is an artist and the daughter-in-law of a chaebol family. Her marriage life is miserable. Her husband Kang In Wook looks like a perfect husband, but he is obsessed with Ma Ri and violent towards her. Ma Ri decides to escape from her obsessive husband. She meets Seo Jung Won and falls in love with him.",,"{'', 'Park Han Byul\nYoon Ma Ri\nMain Role', ""Jung Won Joong\nKang Il Kook [In Wook's father]\nSupport Role"", 'Support Role', 'Park Ha Na\nYoon Ma Ri\nMain Role', 'Wang Bit Na\nJoo Hae Ra\nMain Role', ""Yang Geum Suk\nJung Sook Ja [In Wook's mother]\nSupport Role"", ""Moon Hee Kyung\nIm Yun Hwa [Jung Won's mother]\nSupport Role"", 'Ahn Jung Hoon\nKang In Sang\nSupport Role', ""Lee Duk Hwa\nYoon Hyung Chul [Ma Ri's father]\nSupport Role"", ""Kim Ye Ryung\nLee Kyung Hee [Ma Ri's mother]\nSupport Role"", ""Go Joo Won\nHa Sung Ho [Jung Won's best friend]\nSupport Role"", 'Ji Hyun Woo\nSeo Jung Won\nMain Role', 'Ryu Soo Young\nKang In Wook\nMain Role'}",Korean
Miss Complex (2019),Two & Half Stars,"Drama , Drama , Korean",Athletic brand Andar and Why Not Media teamed up to produce this story of three quirky friends and their individual complexes that also showcases the latest of Andar's fashions.,,"{'Lee Joo Woo\nAhn Doo Ri\nMain Role', 'Lee Ye Rim\nKo Min Jae\nMain Role'}",Korean
"Village Survival, the Eight (2018)",Three & Half Stars,"Drama , Comedy , Mystery , Thriller , Korean | Episodes 6","Village Survival, the Eight is a mystery thriller variety show that is set in the countryside. The stars have to stay together for 24 hours and try to solve a mystery that lies within the village. During their time there, they play different games and compete with one another. For some, their competitiveness starts to show. Son Dam Bi gets competitive while playing volleyball. However, her opponents aren't easy either. Some of the hottest stars shine in the show by making an appearance. BLACKPINK's Jennie, Im Soo Hyang, Jang Do Yeon are some of them. Stay tuned for the mysterious variety show that will spark both humor and reasoning. ",,not available,Korean
Drunk in Good Taste (2019),Three Stars,"Drama , Comedy , Food , Romance , Youth , Korean | Episodes 10",She came from South Chungcheong Province to attend the university. She loves eating desserts. Yeon Nam is a first year student at the same university. They also study the same major. Chong Nam and Yeon Nam become friends and develop romantically.,,not available,Korean
The Best Chicken (2019),Three Stars,"Drama , Comedy , Food , Romance , Korean | Episodes 12","A man works for a big company although his dream is to run a chicken restaurant. A woman who lives at a bathhouse that her late grandfather left behind, only leaves her home when she absolutely has to. She wants to become a webtoon writer. These two meet and grow with each other. ",,"{'', 'Na Jong Chan\nLee Jin Sang\nSupport Role', 'Yang Hong Seok\nBae Ki Bum\nSupport Role', 'Jeon Sung Hwan\nOh Young Ho\nSupport Role', 'Lee Seung Hyub\nPark Joon Hyuk\nSupport Role', 'Support Role', 'Son Min Ji\nHwang Min Ah\nSupport Role', 'Park Sun Ho\nPark Choi Go\nMain Role', 'Kim Seo Ra\nSeo Oh Sook\nSupport Role', 'Kim So Hye\nSeo Bo Ah\nMain Role', 'Joo Woo Jae\nAndrew Kang\nSupport Role', 'Hong Soon Chang\n[Real Estate agent]\nSupport Role', 'Myung Gye Nam\nSeo Myung Dong\nSupport Role', 'Ah Young\nMoon So Dam\nSupport Role'}",Korean
My Strange Hero (2018),Three Stars,"Drama , Comedy , Romance , Korean | Episodes 32","When Kang Bok Soo was a high school student, he was falsely accused of committing violence and kicked out of school. This was caused by his first love Son Soo Jung and a male student Oh Se Ho. Kang Bok Soo is a now an adult, but his life has not gone smoothly. To get revenge on Son Soo Jung and Oh Se Ho, he returns to the same high school as a student. The environment at the school has changed and Kang Bok Soo gets involved in unexpected cases. ",,"{'', 'Jo Bo Ah\nSon Soo Jung\nMain Role', 'Oh Hee Joon\nUnknown', 'Lee Kang Min\nYoon Sung Woo\nSupport Role', 'Support Role', 'Park Ah In\nYang Min Ji\nSupport Role', ""Kim Yeo Jin\nSe Ho's mother\nSupport Role"", 'Kim Kwang Gyu\nSong Yoo Taek [Vice principal]\nSupport Role', 'Yoo Sun Ho\nYoo Shi On\nSupport Role', 'Yun Joon Suk\nOh Young Min\nSupport Role', 'Chun Ho Jin\nTeacher Park\nSupport Role', ""Kim Mi Kyung\nJung Soon [Bok Soo's mother]\nSupport Role"", 'Park Kyung Hye\nJang Ji Hyun\nSupport Role', 'Uhm Hyo Seop\nKim Kwi Chang [Principal]\nSupport Role', 'Yoo Seung Ho\nKang Bok Soo\nMain Role', 'Kwak Dong Yeon\nOh Se Ho\nSupport Role', 'Kim Dong Young\nLee Kyung Hyun\nSupport Role', 'Ham Joon Ho\nDirector', 'Kim Da Ye\nKye So Ra\nSupport Role', ""Se Ho's mother\nSupport Role"", 'Jo Hyun Shik\nMa Young Joon\nSupport Role'}",Korean
Clean With Passion For Now (2018),Three Stars,"Drama , Comedy , Drama , Romance , Korean | Episodes 16","Clean With Passion For Now tells of a love that develops between a man with mysophobia (the fear of germs) and woman who doesn't care about uncleanliness. Jang Sun Gyul owns a cleaning company. He hates germs and has an obsession with keeping things sparkly clean. He meets Gil Oh Sol, a woman with a bright personality who is the complete opposite of the uptight Sun Gyul. She meets him, and begins to help him face his mysophobia. In the process, he falls in love with Gil Oh Sol. ",,"{'', 'Gil Oh Sol [Child]\nSupport Role', ""Kwak Shi Yang\n[Oh Sol's college senior]\nGuest Role"", ""Do Hee\nMin Joo Yeon [Oh Sol's Best Friend]\nSupport Role"", ""Kim Dong Hyun [Oh Sol's colleague]\nSupport Role"", 'Yoon Gyun Sang\nJang Sun Gyeol\nMain Role', ""Cha In Ha\nHwang Jae Min [Oh Sol's Colleague]\nSupport Role"", 'Choi Yoo Ri\nGil Oh Sol [Child]\nSupport Role', ""Kim Won Hae\nGil Gong Tae [Oh Sol's Father]\nSupport Role"", 'Ahn Suk Hwan\nSupport Role', 'Yoo Sun\nSecretary Gwon\nSupport Role', 'Kim Min Kyu\nJeon Yeong Shik\nSupport Role', ""Lee Do Hyun\nGil Oh Dol [Oh Sol's Brother]\nSupport Role"", 'Kim Yoo Jung\nGil Oh Sol\nMain Role', 'Song Jae Rim\nChoi Gun\nMain Role', ""Woo Hyun\n[Oh Sol's senior]\nGuest Role"", ""Yang Hak Jin\nKim Dong Hyun [Oh Sol's colleague]\nSupport Role"", ""Kim Jung Nan\nCha Mae Hwa [Sun Gyeol's Mother]\nSupport Role"", ""Min Joo Yeon [Oh Sol's Best Friend]\nSupport Role""}",Korean
Ugly Miss Young Ae Season 17 (2019),Three Stars,"Drama , Comedy , Drama , Korean | Episodes 16","The seventeenth season of the realistic drama about the thrills and sadness of working women in their 30s, centered around a single woman named Lee Young Ae.",,"{'', 'Lizzy\nPark Soo Ah\nSupport Role', 'Lee Seung Jun\nLee Seung Joon\nMain Role', 'Kim Jung Ha\nKim Jung Ha\nSupport Role', 'Song Min Hyung\nLee Gwi Hyun\nSupport Role', 'Go Se Won\nKim Hyeok Gyu\nSupport Role', 'Support Role', 'Yoon Seo Hyun\nSupport Role', 'Yoon Seo Hyun\nYoon Seo Hyun\nSupport Role', 'Lee Kyu Han\nLee Kyoo Han\nSupport Role', 'Ra Mi Ran\nRa Mi Ran\nSupport Role', 'Jung Da Hye\nLee Young Chae\nSupport Role', 'Jung Ji Soon\nSupport Role', 'Kim Hyun Sook\nLee Young Ae\nMain Role', ""Yeon Je Hyung\nJe Hyung [Lee Kyoo Han's assistant]\nSupport Role"", 'Jung Ji Soon\nJung Ji Soon\nSupport Role', 'Jung Bo Seok\nCEO\nSupport Role'}",Korean
Guided Adventure 2 (2018),Three Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Korean | Episodes 50","Season 2 of Guided Adventure is finally back. Members have changed from four men in their 40s to another four energetic artists. Park Joon Hyung, Eun Ji Won, Sung Hoon and Yoo Seon Ho visit different cities and enjoy their guided tour! Stay tuned!",,not available,Korean
The Fan (2018),Three & Half Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Korean | Episodes 40","A star is born when a talented person gets admiration from people. That is the delicious twist for The Fan, a new music competition show focusing on music fans. The show is all about capturing the love from the actual music listeners. The contestants are not judged by the industry veterans but focus on communicating potential fans. Four musicians including Yoo Hee-yeol and BoA will share the joy of discovering raw talents with the audience. For artists who are trying to find a way to appeal the audiences and music lovers who are ready to adore the next big one, 'The Fan' gives them chances to connect with each other.",,not available,Korean
Fates & Furies (2018),Three Stars,"Drama , Family , Melodrama , Romance , Korean | Episodes 40","It will be a melodrama about lies, destiny, rage, and regret. The female lead role is described as a woman who approaches men with lies.",,"{'Joo Sang Wook\nTae In Joon\nMain Role', 'Jung Soo Young\nKang Sun Young\nSupport Role', 'Jung Yoon Hak\nKang Eui Gun\nSupport Role', 'Lee Min Jung\nGoo Hye Ra\nMain Role', 'Lee Ki Woo\nJin Tae Oh\nSupport Role', 'Shim Yi Young\nGo Ah Jung\nSupport Role', 'Lizzy\nTae Jung Min\nSupport Role', 'Hong Young Hee\nScreenwriter'}",Korean
Your Rosy Cheeks (2018),Two Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Vampire , Korean | Episode 100",What was your parents’ childhood dreams? Watch celebrities help their parents achieve their life goals!,,not available,Korean
Weekend Playlist (2018),Three Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Vampire , Korean | Episode 50",This variety program introduces popular places to go and fun things to do on weekends! A must-watch show if you are planning a fun-filled weekend.,,not available,Korean
Nest Escape Season 3 (2017),Three Stars,"Drama , Game-Show , Kshow , Korean | Episodes 30+","Celebrity parents observe their children as they adjust to a new environment and build independent lives. Without their parents and friends to depend on, the children go to foreign places where they don’t know a soul and live with strangers. Parents learn about their children’s strengths, weaknesses, their dreams and hopes.",,not available,Korean
Vocal Play (2018),Three Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Music , Korean | Episodes: 50","Human's voice is the greatest instrument God's made. Vocal Play starts a journey the best who uses his or her voice in a beautiful way. A cappella performers, K-pop idols, rappers, and beatboxers... Some are beginners who are ready to enjoy a capella, and others are fanatics who fall in love with the magic of voice. Each week, sixteen teams perform in front of 100 judges. With help from the prolific producers of the music industry, each of them brings the out-of-the-box performances that will definitely blow your mind. Who will get to the top in the end? Vocal Play is an a capella competition show, hosted by Roh Hong-chul and Oh Sang-jin, and featuring the best producers in the K-pop - Yoon Sang, Yoon Il-sang, Sweet Sorrow and Muzie.",,not available,Korean
Flipped (2018),Three Stars,"Drama , Mystery , Romance , Supernatural , Korean | Episodes 24","A beautiful love story that brings together many personalities like the domineering CEO, the warm heroine, the workplace beauty and many more. Huan Huan has grown a bit rebellious due to her dad's strict upbringing. After running away from home, she crosses paths with Qi Xun, the overwhelmingly talented, cold, overly sensitive young man with exceptional abilities. There's a saying that goes like this, ""This feeling of liking someone, even if you cover one's mouth will still sparkle through the eyes because the world lights up when you see the one you like."" ",,"{'Gao Han Yu\nQi Xun\nMain Role', 'Charlene Chen\nHuan Huan\nMain Role'}",Korean
Less Than Evil (2018),Three Stars,"Drama , Crime , Detective , Investigation , Psychological , Suspense , Korean | Episodes 32","Woo Tae Seok is a lonely veteran detective. He focuses solely on solving cases. He teeters on a line between good and evil. Tae Seok crosses paths with a female psychopath Eun Sun Jae, but he is unable to arrest her due to a lack of evidence. The woman eventually helps him solve other cases. (Source: AsianWiki) ~ A remake of the U.K. series ""Luther"".",,"{'', 'Kang Yi Hun\nScreenwriter', 'Woo Tae Hee\nSupport Role', 'Yang Jae Young\nLee Moon Ki\nSupport Role', 'Baro\nHwang Dong Yoon\nMain Role', 'Lee Dong Hyun\nDirector', 'Bae Yoo Ram\nBan Ji Deuk\nSupport Role', 'Kim Gun Woo\nJang Hyung Min\nSupport Role', 'Hong Eun Hee\nKim Hae Joon\nSupport Role', 'Park Ho San\nJeon Choon Man\nMain Role', 'Shin Ha Kyun\nWoo Tae Seok\nMain Role', 'Bae Yoon Kyung\nWoo Tae Hee\nSupport Role', 'Ryu Tae Ho\nChoi Jung Woo\nSupport Role', 'Bae Da Bin\nShin Ka Young\nSupport Role', 'Heo Joon Woo\nScreenwriter', 'Lee Seol\nEun Sun Jae\nMain Role', 'Yoon Hee Seok\nJo Doo Jin\nSupport Role', 'Kim Hae Joon\nSupport Role', 'Lee Moon Ki\nSupport Role', 'Kim Dae Jin\nDirector'}",Korean
Under Nineteen (2018),Three & Half Stars,"Drama , Music , Youth , Korean | Episodes 50","This TV show will introduce singers, rappers, dancers but also people who are able to produce music or choreograph. The goal of this show is to create a new generation K-pop group with musicians having their own vision of the world. Hosted by Kim So Hyun. The judges are: Choiza, Crush, EunHyuk (Super Junior), Gaeko, Hwang Sang-Hoon & Solji (EXID).",,"{'Kim So Hyun\n[Host]\nMain Host', 'Lee Eun Hyuk\n[Dance Mentor]\nMain Host', 'Heo Sol Ji\n[Vocal Mentor]\nMain Host'}",Korean
SKY Castle (2018),Three Stars,"Drama , Comedy , Family , Korean | Episodes 16","The satirical comedy takes place in a four-story apartment building in the suburbs of Seoul inhabited by a number of professionals: doctors, judges, prosecutors, professors, and their wives. The wives are from prestigious and highly educated backgrounds, and part of the plot will feature their efforts to get their children admitted into universities. Some grew up in families with multiple generations of doctors or lawyers, and their ambitions will be depicted with realism and comedy.",,"{'', 'Oh Na Ra\nJin Jin Hee\nMain Role', 'Support Role', 'Yoo Hyun Mi\nScreenwriter', 'Lee Hyun Jin\nTeacher Jo\nSupport Role', 'Yoon Se Ah\nNo Seung Hye\nMain Role', 'Kim Seo Hyung\nKim Joo Young\nSupport Role', 'Lee Tae Ran\nLee Soo Im\nMain Role', 'Jo Hyun Taek\nDirector', 'Kwon Shi Hyun\nSupport Role', 'Yum Jung Ah\nHan Seo Jin\nMain Role', 'Kim Joo Young\nSupport Role', 'Cha Seo Jun\nSupport Role', 'Choi Won Young\nHwang Chi Young\nSupport Role', 'Kim Dong Hee\nCha Seo Jun\nSupport Role', 'Cha Ni\nHwang Woo Joo\nSupport Role', 'Jung Joon Ho\nKang Joon Sang\nSupport Role', 'Kim Byung Chul\nCha Min Hyuk\nSupport Role', 'Jo Jae Yun\nWoo Yang Woo\nSupport Role'}",Korean
Wind-Bell (2018),Three Stars,"Drama , Comedy , Fantasy , Romance , Korean | Episodes 10","“Wind-Bell” is a project selected through the “Seoul Story Drama Script Contest” held by the Seoul Metropolitan Government last year, and it depicts family reconciliation with the setting of a guest house in Bukchon. It is a web drama that revolves around Daniel who was adopted overseas and became a world-class novelist, and he has returned to Seoul to meet his family again. ",,"{'Mina\nYeo Jin\nMain Role', 'Jung Jin Young\nDaniel\nMain Role'}",Korean
Kingdom (2019),Three Stars,"Drama , Fantasy , Historical , Horror , Thriller , Zombies , Korean | Episodes 6","""Kingdom"" is set in Korea’s medieval Joseon period. A crown prince is sent on a suicide mission to investigate a mysterious plague that’s spreading across his country. The truth threatens the kingdom when he discovers that it is an atrocious epidemic in the form of zombies.",,"{'', 'Jung Suk Won\nUnknown', 'Support Role', 'Kim Sung Hoon\nDirector', 'Unknown', 'Ryu Seung Ryong\nJo Hak Joo\nMain Role', 'Heo Joon Ho\nSupport Role', 'Jun Suk Ho\nBeom Pal\nSupport Role', 'Kim Eun Hee\nScreenwriter', 'Kim Tae Yul\nLee Chang [Young]\nSupport Role', 'Bae Je Ki\nUnknown', 'Kim Sung Hoon\nUnknown', 'Kim Sang Ho\nMoo Young\nSupport Role', 'Yang Ji Soo\nUnknown', 'Bae Doo Na\nSeo Bi\nMain Role', 'Kim Hye Joon\nQueen\nSupport Role', 'Jin Sun Gyu\nUnknown', 'Joo Kwang Hyun\nUnknown', 'Kim Sung Gyu\nYoung Shin\nSupport Role', 'Kim Ye Eun\nUnknown', 'Joo Ji Hoon\nCrown Prince Lee Chang\nMain Role'}",Korean
Real Men 300 (2018),Three Stars,"Drama , Comedy , Family , Game-Show , Kshow , Military , Korean | Episode 50",“Real Men 300” will follow celebrities undergoing military training as they work to become part of the “300 warriors.” ,,"{'', 'Regular Member', 'Oh Yoon Ah\nRegular Member', 'Lee Yoo Bi\nRegular Member', 'Ahn Soo Hyun\nRegular Member', 'Shownu\nRegular Member', 'Park Jae Min\nRegular Member', 'Kim Jae Hwa\nRegular Member', 'Kim Ho Young\nRegular Member', 'Lisa\nRegular Member', 'Yang Hong Seok\nRegular Member', 'Kang Ji Hwan\nRegular Member'}",Korean
Some Body (2018),Three Stars,"Drama , Comedy , Fantasy , Game-Show , Kshow , Music , Korean | Episodes 50","Somebody is like a dating show with an interesting twist; the contestants are all dancers. They are from various styles of dance: ballet, street dance, Korea traditional, etc. Their mission is to try to meet a right partner for both art and love. Each of them has a unique personality and different reason to find love. But they are dancers; they know how to convey emotion through movement of the body. Observing the complex 'Ssom(flings)' between them, the show will make us appreciate some addictive stories of romance",,not available,Korean
